Stream_Prefetchers,602.gcc_s-1850B.champsimtrace,602.gcc_s-1850B.champsimtrace.xz.txt,603.bwaves_s-1740B.champsimtrace,603.bwaves_s-1740B.champsimtrace.xz.txt,sssp-3.trace,sssp-3.trace.gz.txt,bc-0.trace,bc-0.trace.gz.txt,619.lbm_s-2677B.champsimtrace,619.lbm_s-2677B.champsimtrace.xz.txt
stream_prefetcher_deg2_dist3,0.997223615780831,0.32003,0.993595159653192,0.350443,0.969670419481855,0.280003,0.949252620208449,0.130059,0.994956850435266,0.211099
stream_prefetcher_deg2_dist4,0.997335792920999,0.320066,0.993717075604902,0.350486,0.970096377280865,0.280126,0.949624850378069,0.13011,0.994768321479575,0.211059
stream_prefetcher_deg3_dist3,0.995812053433711,0.319577,0.991193698929975,0.349596,0.955935877767427,0.276037,0.924831401629054,0.126713,0.993736125447167,0.21084
stream_prefetcher_deg3_dist4,0.996332430722826,0.319744,0.990192854024077,0.349243,0.95478960108879,0.275706,0.924130733074475,0.126617,0.991982806159241,0.210468
stream_prefetcher_deg4_dist3,0.993334808254991,0.318782,0.988925495177232,0.348796,0.941764989039378,0.271945,0.900724024173065,0.12341,0.993118693117279,0.210709
stream_prefetcher_deg4_dist4,0.99520754328947,0.319383,0.987621278019404,0.348336,0.940171976132511,0.271485,0.898651213032435,0.123126,0.989593201645858,0.209961
stream_prefetcher_deg5_dist3,0.990866911171285,0.31799,0.986651620915107,0.347994,0.92733436994608,0.267778,0.876273611070563,0.12006,0.991700012725705,0.210408
stream_prefetcher_deg5_dist4,0.993615251105412,0.318872,0.984638590084547,0.347284,0.924546597359062,0.266973,0.872558608005138,0.119551,0.987943573283562,0.209611
stream_prefetcher_deg6_dist3,0.988370969802537,0.317189,0.984530850406292,0.347246,0.912373900907671,0.263458,0.852202726768458,0.116762,0.991063727500247,0.210273
stream_prefetcher_deg6_dist4,0.992156948283222,0.318404,0.982410079897477,0.346498,0.909627685179093,0.262665,0.844918693253146,0.115764,0.985907460562099,0.209179
